ticker,nom,pru,quantite,compte,devise
MSFT,Microsoft,342,0.80,CTO,USD
EUNL.DE,Core MSCI World US,114.39,2.17,CTO,EUR
GOOGL,Alphabet,297,0.82,CTO,USD
TTWO,Take-Two,179.19,1.0046,CTO,USD
V,Visa,285.06,0.67,CTO,USD
AMZN,Amazon,212.26,1,CTO,USD
NOW,ServiceNow,87.84,1.924,CTO,USD
UBER,Uber,65.29,0.995558,CTO,USD
NVDA,Nvidia,173.98,0.29,CTO,USD
DCAM.PA,PEA Monde MSCI World,6.06,94,PEA,EUR
EL.PA,EssilorLuxottica,170.05,2,PEA,EUR
RI.PA,Pernod Ricard,67.26,3,PEA,EUR
EN.PA,Bouygues,47.62,4,PEA,EUR
BMW.DE,BMW,58.71,3,PEA,EUR
TTE.PA,TotalEnergies,68.37,2,PEA,EUR
ISP.MI,Intesa Sanpaolo,6.27,17,PEA,EUR
VIE.PA,Veolia,34.51,3,PEA,EUR
SGO.PA,Saint-Gobain,69.08,1,PEA,EUR
ALKAL.PA,Kalray,8.1,10,PEA,EUR
ALCPB.PA,Capital B,0.575,25,PEA,EUR
NOVO-B.CO,Novo Nordisk,43.49,3,PEA,DKK
